Ne,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
10765,98,0.0059660623669002,0.005565276199477,0.0054563012224349,0.0053762893320691,0.0053799725757001,0.0053910063444275,0.0054106165491315,0.0053658092797464,0.0053999450154685,0.0053303346709035,0.0053384207905355,0.0053385165281433,0.0053259502892218,0.0052770497805064,0.0052699832492308,0.0052746813931795,0.0052999284051812,0.0052707184991529,0.005311730921331,0.005296552782374,0.0053324727890357,0.0053179703553888,0.0053359602530328,0.005226017050684,0.0052618917633637,0.005282831370101,0.0051707470059968,0.0051767654735558,0.0052516041086779,0.0052273355269879
11531,560,0.0058626122540323,0.0055089879795454,0.0053949221542944,0.0053261681540697,0.0052849713851006,0.0052505359111613,0.0052483097123603,0.0051936756267858,0.0051743025360684,0.0052164418076128,0.005178283951667,0.0051687532598792,0.0051583255497785,0.0051711146495371,0.0052154320151258,0.0051300198522363,0.0051384331626031,0.0051739580033109,0.0051780198499999,0.0051889549440873,0.0052131647559398,0.0052045707648664,0.0052136619586117,0.0051615681688698,0.005175833992237,0.0052577119254302,0.0052950597148759,0.0052615892220241,0.0052987365588479,0.0051465961616991
11539,224,0.0057727289813886,0.0053787802538828,0.005303772554734,0.0052462753127677,0.0051943862403586,0.0051636835366057,0.0050818981531673,0.0050922809213173,0.0051283671900873,0.0050776101351555,0.0051610923789086,0.0051098526196514,0.0050970307484213,0.0051476293315752,0.0051591426985496,0.0051746715390558,0.0051472435358296,0.0051745100690632,0.005158760311803,0.0050635112033291,0.0051859312563148,0.0051696151324817,0.0050989827290633,0.005124803119786,0.0051650442259166,0.0052804234415394,0.0051869365380848,0.0052989592567154,0.005257195943668,0.0051775451348098
12612,833,0.005952748775973,0.0055680233033992,0.0055258128258549,0.0054273740112722,0.0054158512291151,0.0054318592610762,0.0053915164738453,0.0053924829096838,0.0054410247265456,0.0054180960600406,0.0053790216263579,0.0053882575788939,0.0053248613506375,0.0053871821568827,0.0053330036956227,0.0053530810859214,0.005337469208849,0.0053364186480616,0.0053433401673987,0.0053974729703616,0.0053680694896562,0.005370859087972,0.0053298402456643,0.0053859255125335,0.0054304801751074,0.0053840238644378,0.0053886413012294,0.00552506993824,0.0055457853372707,0.0054746900844508
13752,6,0.0057514512360322,0.0054545645896782,0.0053847031345077,0.0053155061752097,0.0053817190561302,0.0053625924186915,0.0053123799621675,0.0053658763317398,0.0053441475568641,0.005291119986959,0.0052901226972503,0.0052763300122943,0.0052794070787484,0.0052598143526253,0.0052879464722403,0.0053092093426403,0.0052923838234664,0.0052839108912297,0.0052044677024058,0.0052642917068587,0.0052075809647914,0.0052451631017007,0.005281431867542,0.0052754272046627,0.0053035797204028,0.005253393270744,0.0052830417467941,0.0052718100218326,0.0052189168122307,0.0052043018356592
14167,853,0.0056874022190956,0.00541248074114,0.0053282342643315,0.0052926589591813,0.0053220552646905,0.0053132601275011,0.005305025189301,0.0052829398422797,0.0052694459709363,0.0052491901185157,0.0052550296411584,0.0052821927954345,0.005237827128152,0.0052706035371812,0.0052805348603723,0.0052457958335148,0.0052300283888283,0.0052396298955381,0.005261306958703,0.0052710388440365,0.0051995510980178,0.0052655175783946,0.00523190534222,0.0052042029726335,0.005209253962291,0.0052524176123844,0.0052719290868169,0.0053169804818973,0.0052234058660622,0.0052933698710793
14430,70,0.0057626634418207,0.0054891597849371,0.0054331895565731,0.0053757700394199,0.0053597415442011,0.0053523074565744,0.0053049054848079,0.0053052867077202,0.0052851401834963,0.005320068238473,0.0052803917497963,0.0052732897604399,0.0052612669281162,0.0052446248626895,0.0052496994227294,0.0052288942314958,0.0052235305927746,0.005292643502647,0.0052757684560088,0.0052821240990784,0.0052824665221303,0.0052431857568309,0.0052230628987532,0.0052057667305648,0.005216264583316,0.0051862822888607,0.0052529981989578,0.005284115034852,0.005112064323853,0.0050507125227386
15446,225,0.0057016997358146,0.0054775858419838,0.0053807003078094,0.0053370632987759,0.0053129977335206,0.0053009843377999,0.005308657294026,0.0052783250863695,0.0052303095673136,0.0052516172245336,0.0052093263114585,0.005236341336662,0.005251250851139,0.0052740547415937,0.005246364157114,0.005238302552641,0.0052195423504461,0.0052506229688713,0.0052148591306028,0.0052492484775694,0.0051609541173873,0.0051540294544418,0.0051864746709598,0.0051787678222213,0.0051693368771078,0.0052099987253847,0.0052296900356338,0.0051347889959664,0.0051576000814337,0.0050888643602354
17237,417,0.0057127850564745,0.0054577661986148,0.0053579471837736,0.0053314082395654,0.0053228647197043,0.0053047953431148,0.005269841751891,0.0052991732271841,0.0052576404524834,0.0052265870820027,0.0052340468725249,0.005249877261973,0.0053315847388569,0.005285449316804,0.0052683250490937,0.0051759378645998,0.0052030715410595,0.0052103112278533,0.0051993027710775,0.0051689293387107,0.0052021197376394,0.0051738765461276,0.0052386816854567,0.0051696532475904,0.0051048372538291,0.0051215789456646,0.0051521279708367,0.0050803942232887,0.0050817170489789,0.0050883007658262
17421,971,0.005729754692806,0.0054570215241709,0.0054389352141535,0.0053971231146823,0.0053556202028066,0.0053256848660316,0.005336237573386,0.0053393952176859,0.0053176614437886,0.0053366926784446,0.0052788635689071,0.0053238654877595,0.0053196510725161,0.0052887023861656,0.0052434323807549,0.0052396162945514,0.0052422274359965,0.0052811488767645,0.0052957771846887,0.0052633702348523,0.0052981258673478,0.0053098452861657,0.0052951261996281,0.0052914280265969,0.0053096599304054,0.0052881885089192,0.0053034985482547,0.0052453825909415,0.0051650994722104,0.0052683229661847
