Ne1,Ne2,Ne3,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
13833,10435,9385,21,0.0058604820378019,0.0054931070064521,0.0052428482547044,0.0052682439187596,0.005253931245647,0.0051606655934498,0.0051471231145536,0.0051883252849813,0.0050911371580293,0.0051516783425754,0.0051182403303338,0.0050988709676627,0.0051216474221279,0.0051513842925456,0.0051057327521589,0.0050875812711016,0.0051542380270067,0.005160104512435,0.0051091320634657,0.0051060684163128,0.0050649842501176,0.005135658741638,0.0051576133986169,0.0051061785670181,0.0051036957438728,0.0051481276893627,0.0051756206440728,0.0050714749296802,0.0051320987504596,0.0049900631937263
22192,35867,47172,22,0.0054276644976835,0.0053317564818241,0.0052968242804547,0.0052746745732799,0.0052477198852005,0.0052491901312427,0.0052487186170708,0.0052493640066018,0.0052462058241257,0.0052373528350197,0.0052326806840061,0.0052173928976783,0.0052349532467818,0.0052270060460401,0.0052309939228177,0.0052465454967669,0.0052477677903189,0.0052484850481431,0.0052431824577703,0.0052289968784063,0.0051806162453128,0.0051669840376267,0.0051596507970956,0.0051518027838577,0.0051660133252922,0.0051566807604325,0.0051952251374913,0.005200769063205,0.0051817742503996,0.0052301585127241
48396,19266,9698,23,0.0058003127052526,0.0054755555670608,0.0054193010358951,0.0054180154694521,0.0053414396849008,0.0053088085566367,0.0052981961661872,0.0052726419880405,0.0053144218847314,0.0052781264243662,0.0052535850947474,0.0052959599167074,0.005252514586926,0.0052997473504216,0.0052613308359567,0.0052915982144087,0.0052659326684866,0.0051636816649968,0.0052198484317563,0.0052678842022281,0.0052906027919547,0.0052757176917815,0.0052743173585848,0.005243174594433,0.00519205042768,0.0051619016524657,0.005154641400346,0.0051896674341172,0.0051730712523388,0.0050297798428699
15841,41419,26114,24,0.005515765624804,0.005376614725696,0.0053443074410548,0.0053406981921,0.0053108551317327,0.0053102811938938,0.0053255919940483,0.0053079097465642,0.0053081036698226,0.0052860146112546,0.0052806324244379,0.0052575099797294,0.0052904468290048,0.005305603188101,0.0052870080904054,0.0052759373516021,0.0052963374676616,0.0053093431103944,0.0052891847442369,0.0053303997046063,0.0053272090223709,0.0053574265163688,0.0053184649771954,0.005348842361688,0.0053862486371734,0.0053631419471466,0.0053997338294622,0.0054127649448429,0.0054232820826347,0.0053606093341237
29553,19388,20912,25,0.0054865615029923,0.0052794934211579,0.0052776259394495,0.0051993576652929,0.0052201883666151,0.0052302650366309,0.005183371767081,0.0051532824787535,0.0051931038674842,0.0051926145596098,0.0052196975647433,0.0051941842795294,0.0051710479734836,0.0051812367038731,0.0051612340337882,0.0051701097514858,0.0051476358194925,0.0051642946805422,0.0051559272444145,0.0051569230081352,0.0051641830309079,0.0051474627886334,0.0052122401582543,0.0051767435180041,0.0051525545685973,0.0051645826643146,0.0051249995510285,0.0051476431210514,0.0051587503783203,0.005121007506901
16982,43088,7108,26,0.0058112036644088,0.0053243758558086,0.0053403751579014,0.0052855324530912,0.0052466944699946,0.0052083669686866,0.0052062722605923,0.0052063506267134,0.0052156999997983,0.0053032035447264,0.0052763849114132,0.0052579885293359,0.0052448629214472,0.0052119723849633,0.0052612422125475,0.0052255239624684,0.0052184622381174,0.005284568737495,0.0053286500431342,0.0051810525244476,0.0052355951023615,0.0051891484890722,0.0052435903028178,0.0052336041968877,0.0052939371913936,0.0052550716180245,0.0052698800123712,0.0052571792365751,0.0052581462080694,0.0053587848311569
31832,44251,43319,27,0.0054324751789942,0.0053222430196359,0.0053094902516945,0.0052896584976945,0.0052693467144876,0.0052493032155131,0.0052357078968598,0.0052400159334549,0.0052278730136422,0.0052409086560585,0.0052396175566859,0.0052539377832563,0.0052458295314726,0.0052444938201686,0.0052557113275449,0.0052432902089334,0.0052505047038701,0.0052323743185834,0.0052377003917054,0.0052366676543865,0.0052301578260726,0.0052465185824603,0.0052435665678539,0.0052413516215527,0.0052488290192597,0.0052381071897776,0.0052611511550997,0.0052943893373907,0.0053214379771059,0.0052877384096234
44247,3179,39669,28,0.0062754094375057,0.0058420331724008,0.0056174469941415,0.0054841697431842,0.0054119364724589,0.005354711663945,0.0053183724891652,0.005295857602132,0.0052791390801235,0.0053008407684983,0.0052870215674099,0.0052817015745177,0.0052681963960725,0.0052815373693343,0.0052218122550844,0.005232602256414,0.0052502934295072,0.0052502114496704,0.0052303524546586,0.0052575885477369,0.0052673170351041,0.0052620186394891,0.0051933634892344,0.0052834820338124,0.0052273470187758,0.0052269126678091,0.0052228549657675,0.0052288361637146,0.0052584185285985,0.0052131571581164
22120,1986,12235,29,0.0070075907552385,0.0062465540287689,0.0058468342956299,0.0055300112768163,0.0054359109162679,0.0053658236627388,0.0053720419476849,0.0053758794051801,0.0053161344136698,0.0053230420617463,0.0052333428430004,0.0052396157676543,0.005174037812175,0.0052049353365287,0.0052125102493873,0.0051741309120185,0.0052639563215729,0.0052264064369307,0.0052022875825331,0.0052609366960626,0.0051638039577295,0.0052597887053445,0.0051607658145712,0.005219033901771,0.0051376174069279,0.0051500064691994,0.0050987586896701,0.0049645950140083,0.0049568777633008,0.0049830568205667
30994,34013,16103,30,0.0054469048533928,0.0052681872586668,0.0052221907084077,0.005167182084378,0.0052032787014693,0.0052296375477613,0.0052122500386735,0.0051761160051893,0.0051726321633953,0.005133032252674,0.0051627039569118,0.0051798012313859,0.0051897530694213,0.0051672458168311,0.0051683287228515,0.0052149790676592,0.005191248198655,0.0051602323624613,0.0051897791227278,0.0051973421855279,0.0052097378671165,0.0051832118476343,0.0051812344855686,0.0051847248669372,0.0051961088490101,0.0052648296663889,0.0052727339508944,0.0053141115705831,0.0052770322988919,0.005297566672026
